noise_level,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,classical_parameter_rel_error,classical_state_rmse,outdir
0.0,0,0.00043697357177734374,0.000518957773844401,0.00047796567281087235,0.0013947730352584786,0.43058441464900105,0.25556083319525913,results/exp1_noise_sweep/runs/noise0.0/beta5.0_n3.0_noise0.0/obs-1-2-3_count-1000/seed-0
0.0,1,0.00043697357177734374,0.000518957773844401,0.00047796567281087235,0.0013947730352584786,0.43058441464900105,0.25556083319525913,results/exp1_noise_sweep/runs/noise0.0/beta5.0_n3.0_noise0.0/obs-1-2-3_count-1000/seed-1
0.0,2,0.00043697357177734374,0.000518957773844401,0.00047796567281087235,0.0013947730352584786,0.43058441464900105,0.25556083319525913,results/exp1_noise_sweep/runs/noise0.0/beta5.0_n3.0_noise0.0/obs-1-2-3_count-1000/seed-2
0.0,3,0.00043697357177734374,0.000518957773844401,0.00047796567281087235,0.0013947730352584786,0.43058441464900105,0.25556083319525913,results/exp1_noise_sweep/runs/noise0.0/beta5.0_n3.0_noise0.0/obs-1-2-3_count-1000/seed-3
0.0,4,0.00043697357177734374,0.000518957773844401,0.00047796567281087235,0.0013947730352584786,0.43058441464900105,0.25556083319525913,results/exp1_noise_sweep/runs/noise0.0/beta5.0_n3.0_noise0.0/obs-1-2-3_count-1000/seed-4
0.01,0,0.0011441230773925782,0.0003536542256673177,0.0007488886515299479,0.001582152866368976,0.42683466766998157,0.25556121736785437,results/exp1_noise_sweep/runs/noise0.01/beta5.0_n3.0_noise0.01/obs-1-2-3_count-1000/seed-0
0.01,1,0.00047855377197265626,0.0006709098815917969,0.0005747318267822265,0.0015039961954745312,0.4283605551314511,0.2555608736455506,results/exp1_noise_sweep/runs/noise0.01/beta5.0_n3.0_noise0.01/obs-1-2-3_count-1000/seed-1
0.01,2,0.00079345703125,8.66254170735677e-05,0.00044004122416178387,0.0017217445505388494,0.42965122120327226,0.25556100778317253,results/exp1_noise_sweep/runs/noise0.01/beta5.0_n3.0_noise0.01/obs-1-2-3_count-1000/seed-2
0.01,3,0.0007654190063476563,0.00016800562540690103,0.00046671231587727864,0.003659602697630475,0.4282906071967175,0.2555609676804244,results/exp1_noise_sweep/runs/noise0.01/beta5.0_n3.0_noise0.01/obs-1-2-3_count-1000/seed-3
0.01,4,0.0008749008178710937,0.0009504159291585287,0.0009126583735148112,0.005881410704358928,0.4313339341272752,0.25556083989109224,results/exp1_noise_sweep/runs/noise0.01/beta5.0_n3.0_noise0.01/obs-1-2-3_count-1000/seed-4
0.05,0,0.003963947296142578,0.0004055500030517578,0.002184748649597168,0.00663938806244962,0.4066435851450032,0.25557247364906976,results/exp1_noise_sweep/runs/noise0.05/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
0.05,1,0.0005617141723632812,0.0004729429880777995,0.0005173285802205404,0.004591536775281981,0.4177406090329872,0.25556224357914226,results/exp1_noise_sweep/runs/noise0.05/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
0.05,2,0.0022691726684570313,0.002219597498575846,0.0022443850835164388,0.004797152016976938,0.4262568792439005,0.25556517410297613,results/exp1_noise_sweep/runs/noise0.05/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
0.05,3,0.0042441368103027345,0.001821756362915039,0.003032946586608887,0.017079516705151877,0.4195783998416851,0.2555641549849579,results/exp1_noise_sweep/runs/noise0.05/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
0.05,4,0.0026676177978515623,0.0021892388661702475,0.0024284283320109047,0.010708082199272356,0.4338045648044631,0.2555609619179428,results/exp1_noise_sweep/runs/noise0.05/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
0.1,0,0.0075625419616699215,0.0016633669535319011,0.004612954457600911,0.010680271577119945,0.3526542266144131,0.25564486531761393,results/exp1_noise_sweep/runs/noise0.1/beta5.0_n3.0_noise0.1/obs-1-2-3_count-1000/seed-0
0.1,1,0.0006493568420410156,0.00019582112630208334,0.0004225889841715495,0.009191498854966305,0.4010150778294,0.2555684183026751,results/exp1_noise_sweep/runs/noise0.1/beta5.0_n3.0_noise0.1/obs-1-2-3_count-1000/seed-1
