comparison,noise_level,p_value,stars
beta_jt_trend,all,4.4393059284374615e-06,***
n_jt_trend,all,0.006427788109622311,**
parameter_pinn_vs_classical,0.0,0.00397675170978865,**
state_pinn_vs_classical,0.0,0.00397675170978865,**
parameter_pinn_vs_classical,0.01,0.01218578035534481,*
state_pinn_vs_classical,0.01,0.01218578035534481,*
parameter_pinn_vs_classical,0.05,0.01218578035534481,*
state_pinn_vs_classical,0.05,0.01218578035534481,*
parameter_pinn_vs_classical,0.1,0.01218578035534481,*
state_pinn_vs_classical,0.1,0.01218578035534481,*
parameter_pinn_vs_classical,0.2,0.06010280593886632,
state_pinn_vs_classical,0.2,0.1436720818069602,
