design,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,classical_parameter_rel_error,classical_state_rmse,outdir
3/3,0,0.003963947296142578,0.0004055500030517578,0.002184748649597168,0.00663938806244962,0.4066283351163795,0.25557247701367464,results/exp2_partial_observation/runs/3-3/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3/3,1,0.0005617141723632812,0.0004729429880777995,0.0005173285802205404,0.004591536775281981,0.41769888533444266,0.2555622527755181,results/exp2_partial_observation/runs/3-3/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
3/3,2,0.0022691726684570313,0.002219597498575846,0.0022443850835164388,0.004797152016976938,0.42625799691866184,0.25556517817169694,results/exp2_partial_observation/runs/3-3/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
3/3,3,0.0042441368103027345,0.001821756362915039,0.003032946586608887,0.017079516705151877,0.4195832373793849,0.25556415425807694,results/exp2_partial_observation/runs/3-3/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
3/3,4,0.0026676177978515623,0.0021892388661702475,0.0024284283320109047,0.010708082199272356,0.43380506788604634,0.25556096200104284,results/exp2_partial_observation/runs/3-3/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
2/3,0,0.00417327880859375,0.00016260147094726562,0.002167940139770508,0.006138050696285723,0.4223838318702753,0.25569977818224365,results/exp2_partial_observation/runs/2-3/beta5.0_n3.0_noise0.05/obs-1-2_count-1000/seed-0
2/3,1,0.0014047622680664062,0.0019158522288004558,0.0016603072484334311,0.007429017567449799,0.41993252997299113,0.25581986923570404,results/exp2_partial_observation/runs/2-3/beta5.0_n3.0_noise0.05/obs-1-2_count-1000/seed-1
2/3,2,0.0008886337280273437,0.0015146732330322266,0.0012016534805297852,0.006405474566471876,0.43231759077889875,0.2557495118962155,results/exp2_partial_observation/runs/2-3/beta5.0_n3.0_noise0.05/obs-1-2_count-1000/seed-2
2/3,3,0.00721445083618164,0.0009897549947102864,0.004102102915445964,0.019636181594065983,0.40942329732118266,0.25580022839049227,results/exp2_partial_observation/runs/2-3/beta5.0_n3.0_noise0.05/obs-1-2_count-1000/seed-3
2/3,4,0.003210163116455078,0.0016543865203857422,0.0024322748184204103,0.013117526558922166,0.43027045931887437,0.2557933471732493,results/exp2_partial_observation/runs/2-3/beta5.0_n3.0_noise0.05/obs-1-2_count-1000/seed-4
1/3,0,0.010330486297607421,0.0017591317494710286,0.006044809023539225,0.00750922803719944,0.560717487206677,0.2560351829446412,results/exp2_partial_observation/runs/1-3/beta5.0_n3.0_noise0.05/obs-1_count-1000/seed-0
1/3,1,0.0006608963012695312,0.0005738735198974609,0.0006173849105834961,0.005613523535250628,0.5495985538609216,0.25640035198946276,results/exp2_partial_observation/runs/1-3/beta5.0_n3.0_noise0.05/obs-1_count-1000/seed-1
1/3,2,0.0005141258239746094,0.001252571741739909,0.0008833487828572592,0.008610749449334067,0.5546963952948345,0.2563773359564963,results/exp2_partial_observation/runs/1-3/beta5.0_n3.0_noise0.05/obs-1_count-1000/seed-2
1/3,3,0.008592891693115234,0.0007886886596679688,0.004690790176391601,0.025265883327182114,0.5556494626165678,0.25637312635802534,results/exp2_partial_observation/runs/1-3/beta5.0_n3.0_noise0.05/obs-1_count-1000/seed-3
1/3,4,0.0008894920349121094,0.002440929412841797,0.001665210723876953,0.012873514550449421,0.5475629853568929,0.2564215940561197,results/exp2_partial_observation/runs/1-3/beta5.0_n3.0_noise0.05/obs-1_count-1000/seed-4
