observation_count,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,classical_parameter_rel_error,classical_state_rmse,outdir
10,0,0.010936450958251954,0.0021435419718424478,0.006539996465047201,0.023911262433185834,0.6313143665106669,0.25597179093278716,results/exp3_sampling_density/runs/count10/beta5.0_n3.0_noise0.05/obs-1-2-3_count-10/seed-0
10,1,0.021750545501708983,0.01656182607014974,0.019156185785929362,0.025953793845014946,0.6323178791998852,0.2561115647357262,results/exp3_sampling_density/runs/count10/beta5.0_n3.0_noise0.05/obs-1-2-3_count-10/seed-1
10,2,0.020529842376708983,0.0038786729176839194,0.01220425764719645,0.030753823128864093,0.1301711244584969,0.2573676167993347,results/exp3_sampling_density/runs/count10/beta5.0_n3.0_noise0.05/obs-1-2-3_count-10/seed-2
10,3,0.009794330596923828,0.0010207494099934895,0.005407540003458659,0.031263569650118554,0.6335599285597951,0.2559784662576939,results/exp3_sampling_density/runs/count10/beta5.0_n3.0_noise0.05/obs-1-2-3_count-10/seed-3
10,4,0.02487192153930664,0.0038169225056966147,0.014344422022501626,0.03309687222314335,0.6381150918169856,0.2562302862996694,results/exp3_sampling_density/runs/count10/beta5.0_n3.0_noise0.05/obs-1-2-3_count-10/seed-4
25,0,0.010421180725097656,0.006187995274861653,0.008304587999979655,0.017351149721171244,0.15183520322271735,0.25686139167193933,results/exp3_sampling_density/runs/count25/beta5.0_n3.0_noise0.05/obs-1-2-3_count-25/seed-0
25,1,0.0027704238891601562,0.0033396085103352866,0.0030550161997477216,0.01664730424056279,0.3038758012214008,0.25572526969822906,results/exp3_sampling_density/runs/count25/beta5.0_n3.0_noise0.05/obs-1-2-3_count-25/seed-1
25,2,0.0015185356140136718,0.0046367645263671875,0.0030776500701904298,0.021452031281280568,0.5040718930009802,0.2556099571810689,results/exp3_sampling_density/runs/count25/beta5.0_n3.0_noise0.05/obs-1-2-3_count-25/seed-2
25,3,0.022483348846435547,0.0010120868682861328,0.01174771785736084,0.029586984021499233,0.3725721977808601,0.2558582560949016,results/exp3_sampling_density/runs/count25/beta5.0_n3.0_noise0.05/obs-1-2-3_count-25/seed-3
25,4,0.013228321075439453,0.005077918370564778,0.009153119723002116,0.019391415779614587,0.2600180112521874,0.25600428122195623,results/exp3_sampling_density/runs/count25/beta5.0_n3.0_noise0.05/obs-1-2-3_count-25/seed-4
50,0,0.010999584197998047,3.5603841145833336e-05,0.00551759401957194,0.014785981022058371,0.404406336147363,0.2556297337715295,results/exp3_sampling_density/runs/count50/beta5.0_n3.0_noise0.05/obs-1-2-3_count-50/seed-0
50,1,0.006579208374023438,0.0024100939432779946,0.004494651158650716,0.01247559406603116,0.1511682849880817,0.2567719374657738,results/exp3_sampling_density/runs/count50/beta5.0_n3.0_noise0.05/obs-1-2-3_count-50/seed-1
50,2,0.0025859832763671874,0.004047314325968425,0.003316648801167806,0.012218214954548303,0.3848409635526229,0.25558522844568343,results/exp3_sampling_density/runs/count50/beta5.0_n3.0_noise0.05/obs-1-2-3_count-50/seed-2
50,3,0.012442588806152344,0.004433472951253255,0.008438030878702799,0.024080076264378122,0.2489643946004051,0.2560741612925489,results/exp3_sampling_density/runs/count50/beta5.0_n3.0_noise0.05/obs-1-2-3_count-50/seed-3
50,4,0.000569915771484375,0.004840850830078125,0.00270538330078125,0.012588643666733406,0.15284827507410692,0.2567475737569262,results/exp3_sampling_density/runs/count50/beta5.0_n3.0_noise0.05/obs-1-2-3_count-50/seed-4
100,0,0.002374744415283203,0.0027944246927897134,0.0025845845540364582,0.008858433974555609,0.3363249473374896,0.2556536258892267,results/exp3_sampling_density/runs/count100/beta5.0_n3.0_noise0.05/obs-1-2-3_count-100/seed-0
100,1,0.00484762191772461,0.0013370513916015625,0.003092336654663086,0.01184855983366271,0.15781953291825135,0.25673071511239287,results/exp3_sampling_density/runs/count100/beta5.0_n3.0_noise0.05/obs-1-2-3_count-100/seed-1
100,2,0.001607799530029297,0.0009166399637858073,0.001262219746907552,0.007492060361851495,0.4268298433227593,0.2555611583080406,results/exp3_sampling_density/runs/count100/beta5.0_n3.0_noise0.05/obs-1-2-3_count-100/seed-2
100,3,0.0036200523376464845,0.0016831556955973308,0.0026516040166219075,0.018653968693255498,0.15082787484616694,0.25675829481274864,results/exp3_sampling_density/runs/count100/beta5.0_n3.0_noise0.05/obs-1-2-3_count-100/seed-3
100,4,0.010804843902587891,0.0014440218607584636,0.006124432881673177,0.012467055166601921,0.4430466333117494,0.2556045414577227,results/exp3_sampling_density/runs/count100/beta5.0_n3.0_noise0.05/obs-1-2-3_count-100/seed-4
