beta_guess,n_guess,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,outdir
1.0,1.0,0,0.503107213973999,1.0757414400577545,0.7894243270158767,0.22031983988376777,results/exp4_initial_guess/runs/bg1.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,1.5,0,0.5027232646942139,0.0992726484934489,0.3009979565938314,0.2752433987846608,results/exp4_initial_guess/runs/bg1.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,2.0,0,0.502253246307373,0.26018039385477704,0.38121682008107505,0.27670818095335276,results/exp4_initial_guess/runs/bg1.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,2.5,0,0.5025634765625,0.3616665204366048,0.43211499849955237,0.26921389301169585,results/exp4_initial_guess/runs/bg1.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,3.0,0,0.5034566879272461,0.43770043055216473,0.4705785592397054,0.2782177941018237,results/exp4_initial_guess/runs/bg1.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,3.5,0,0.5047110080718994,0.48690398534138996,0.4958074967066447,0.27798485919292926,results/exp4_initial_guess/runs/bg1.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,4.0,0,0.505552864074707,0.5149834950764974,0.5102681795756022,0.28072666672468377,results/exp4_initial_guess/runs/bg1.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,4.5,0,0.5060915470123291,0.5435565312703451,0.524824039141337,0.28114603437673,results/exp4_initial_guess/runs/bg1.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,5.0,0,0.5066503047943115,0.5654365221659342,0.5360434134801229,0.2812658805523493,results/exp4_initial_guess/runs/bg1.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,1.0,0,0.4222091197967529,0.9505539536476135,0.6863815367221833,0.20294777871691344,results/exp4_initial_guess/runs/bg2.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,1.5,0,0.39234747886657717,0.8435981074968973,0.6179727931817373,0.1947232257918788,results/exp4_initial_guess/runs/bg2.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,2.0,0,0.35990252494812014,0.71811443567276,0.53900848031044,0.18264211367826305,results/exp4_initial_guess/runs/bg2.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,2.5,0,0.3092345714569092,0.0045926570892333984,0.1569136142730713,0.1481895745998705,results/exp4_initial_guess/runs/bg2.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,3.0,0,0.31305532455444335,0.08864323298136394,0.20084927876790365,0.1576698139580526,results/exp4_initial_guess/runs/bg2.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,3.5,0,0.3135948657989502,0.09219066301981609,0.20289276440938314,0.15350500369061088,results/exp4_initial_guess/runs/bg2.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,4.0,0,0.31477994918823243,0.09804948170979817,0.2064147154490153,0.15390503613892512,results/exp4_initial_guess/runs/bg2.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,4.5,0,0.3185072898864746,0.11349829037984212,0.21600279013315835,0.16165916092404292,results/exp4_initial_guess/runs/bg2.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
2.0,5.0,0,0.3249561309814453,0.1566309134165446,0.24079352219899497,0.16587641470761272,results/exp4_initial_guess/runs/bg2.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,1.0,0,0.28224749565124513,0.5301256974538168,0.406186596552531,0.15170068685815144,results/exp4_initial_guess/runs/bg3.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,1.5,0,0.24309630393981935,0.39639238516489667,0.319744344552358,0.12131678805276176,results/exp4_initial_guess/runs/bg3.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,2.0,0,0.20623488426208497,0.21514717737833658,0.2106910308202108,0.08245809423184863,results/exp4_initial_guess/runs/bg3.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,2.5,0,0.19222135543823243,0.06216573715209961,0.12719354629516602,0.08024783407456236,results/exp4_initial_guess/runs/bg3.0_ng2.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,3.0,0,0.19691934585571289,0.010433355967203775,0.10367635091145833,0.08867105742742779,results/exp4_initial_guess/runs/bg3.0_ng3.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,3.5,0,0.20456328392028808,0.0188445250193278,0.11170390446980794,0.09478976942112172,results/exp4_initial_guess/runs/bg3.0_ng3.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,4.0,0,0.2142876625061035,0.04758151372273763,0.13093458811442057,0.10376952042043404,results/exp4_initial_guess/runs/bg3.0_ng4.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,4.5,0,0.22611045837402344,0.09643212954203288,0.16127129395802817,0.11479683892956805,results/exp4_initial_guess/runs/bg3.0_ng4.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
3.0,5.0,0,0.24276113510131836,0.1787139574686686,0.21073754628499347,0.12795201603703837,results/exp4_initial_guess/runs/bg3.0_ng5.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,1.0,0,0.21410765647888183,0.36885122458140057,0.2914794405301412,0.10887465743649291,results/exp4_initial_guess/runs/bg4.0_ng1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,1.5,0,0.16301774978637695,0.2245779037475586,0.19379782676696777,0.06755874417809112,results/exp4_initial_guess/runs/bg4.0_ng1.5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
4.0,2.0,0,0.13281450271606446,0.12663968404134116,0.1297270933787028,0.04886774118069807,results/exp4_initial_guess/runs/bg4.0_ng2.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
