beta_guess,n_guess,num_runs,beta_rel_error_mean,beta_rel_error_std,n_rel_error_mean,n_rel_error_std,parameter_rel_error_mean,parameter_rel_error_std,state_rmse_mean,state_rmse_std
1.0,1.0,1,0.007970428466796875,0.0,0.00013248125712076822,0.0,0.0040514548619588215,0.0,0.006830001912094838,0.0
1.0,1.5,1,0.004573154449462891,0.0,0.0003085931142171224,0.0,0.0024408737818400065,0.0,0.0055557489204967675,0.0
1.0,2.0,1,0.004485511779785156,0.0,0.0005919138590494791,0.0,0.0025387128194173177,0.0,0.007041458999116621,0.0
1.0,2.5,1,0.004382991790771484,0.0,0.0005563100179036459,0.0,0.002469650904337565,0.0,0.007369553636510471,0.0
1.0,3.0,1,0.004273700714111328,0.0,0.0005382696787516276,0.0,0.002405985196431478,0.0,0.007107948473637102,0.0
1.0,3.5,1,0.006714344024658203,0.0,0.00010538101196289062,0.0,0.003409862518310547,0.0,0.005470166631911338,0.0
1.0,4.0,1,0.004208755493164062,0.0,0.0005419254302978516,0.0,0.002375340461730957,0.0,0.007582694806447452,0.0
1.0,5.0,1,0.004210948944091797,0.0,0.0004769166310628255,0.0,0.002343932787577311,0.0,0.007218456132744248,0.0
1.0,10.0,1,0.004050922393798828,0.0,0.0006690025329589844,0.0,0.002359962463378906,0.0,0.005386835103457443,0.0
3.0,1.0,1,0.0038805007934570312,0.0,0.0006397565205891927,0.0,0.002260128657023112,0.0,0.007034545945906254,0.0
3.0,1.5,1,0.003912639617919922,0.0,0.0006091594696044922,0.0,0.002260899543762207,0.0,0.006669192872973447,0.0
3.0,2.0,1,0.003913021087646485,0.0,0.0006926059722900391,0.0,0.002302813529968262,0.0,0.00655027655202145,0.0
3.0,2.5,1,0.003978919982910156,0.0,0.00040713946024576825,0.0,0.0021930297215779623,0.0,0.007633324644458176,0.0
3.0,3.0,1,0.003987789154052734,0.0,0.0003063678741455078,0.0,0.002147078514099121,0.0,0.005081007573911039,0.0
3.0,3.5,1,0.0039615631103515625,0.0,0.0006030400594075521,0.0,0.002282301584879557,0.0,0.005065067620030424,0.0
3.0,4.0,1,0.003989219665527344,0.0,0.0003944238026936849,0.0,0.002191821734110514,0.0,0.006088833032901991,0.0
3.0,5.0,1,0.004047679901123047,0.0,0.0002442200978597005,0.0,0.0021459499994913736,0.0,0.006193323488049787,0.0
3.0,10.0,1,0.00407257080078125,0.0,0.0003940264383951823,0.0,0.002233298619588216,0.0,0.005388462005558169,0.0
4.0,1.0,1,0.003963947296142578,0.0,0.000402371088663737,0.0,0.0021831591924031577,0.0,0.006544601646400434,0.0
4.0,1.5,1,0.003986644744873047,0.0,0.0004820823669433594,0.0,0.002234363555908203,0.0,0.0059562049062999705,0.0
4.0,2.0,1,0.004022121429443359,0.0,0.000307162602742513,0.0,0.002164642016092936,0.0,0.0051928706524867465,0.0
4.0,2.5,1,0.003963947296142578,0.0,0.0004055500030517578,0.0,0.002184748649597168,0.0,0.00663938806244962,0.0
4.0,3.0,1,0.004070854187011719,0.0,6.453196207682292e-05,0.0,0.002067693074544271,0.0,0.005853895020138574,0.0
4.0,3.5,1,0.0041103363037109375,0.0,0.00017110506693522135,0.0,0.0021407206853230796,0.0,0.004864586057751856,0.0
4.0,4.0,1,0.0040299415588378905,0.0,0.0002113183339436849,0.0,0.0021206299463907875,0.0,0.005258846212786831,0.0
4.0,5.0,1,0.004077720642089844,0.0,0.0002190272013346354,0.0,0.00214837392171224,0.0,0.011107004802663132,0.0
4.0,10.0,1,0.003981494903564453,0.0,0.0002714792887369792,0.0,0.002126487096150716,0.0,0.00788977658595871,0.0
4.5,1.0,1,0.003990745544433594,0.0,0.00041985511779785156,0.0,0.002205300331115723,0.0,0.007561620642178125,0.0
4.5,1.5,1,0.003991413116455078,0.0,0.0003267923990885417,0.0,0.00215910275777181,0.0,0.013014324813484584,0.0
