case,regime,beta,n,noise_level,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,outdir
stable_beta5,stable,5.0,1.5,0.05,0,0.03659629821777344,0.07466761271158855,0.05563195546468099,0.003177690501687899,results/exp5_regime_comparison/runs/stable_beta5/beta5.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-0
stable_beta5,stable,5.0,1.5,0.05,1,0.04289712905883789,0.09099324544270833,0.06694518725077311,0.002631378257064011,results/exp5_regime_comparison/runs/stable_beta5/beta5.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-1
stable_beta5,stable,5.0,1.5,0.05,2,0.03264541625976562,0.06695262591044109,0.049799021085103354,0.0035556435003392946,results/exp5_regime_comparison/runs/stable_beta5/beta5.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-2
stable_beta5,stable,5.0,1.5,0.05,3,0.024544811248779295,0.052680253982543945,0.038612532615661624,0.009869218867524296,results/exp5_regime_comparison/runs/stable_beta5/beta5.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-3
stable_beta5,stable,5.0,1.5,0.05,4,0.04457283020019531,0.09513099988301595,0.06985191504160562,0.011020163337627691,results/exp5_regime_comparison/runs/stable_beta5/beta5.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-4
stable_beta8,stable,8.0,1.5,0.05,0,0.24985027313232422,0.3846088647842407,0.31722956895828247,0.02263983891171342,results/exp5_regime_comparison/runs/stable_beta8/beta8.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-0
stable_beta8,stable,8.0,1.5,0.05,1,0.2582465410232544,0.4029160737991333,0.33058130741119385,0.021703960062604912,results/exp5_regime_comparison/runs/stable_beta8/beta8.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-1
stable_beta8,stable,8.0,1.5,0.05,2,0.24682825803756714,0.37960195541381836,0.31321510672569275,0.02391792089258787,results/exp5_regime_comparison/runs/stable_beta8/beta8.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-2
stable_beta8,stable,8.0,1.5,0.05,3,0.247586190700531,0.3837405840555827,0.3156633873780569,0.03016263632430027,results/exp5_regime_comparison/runs/stable_beta8/beta8.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-3
stable_beta8,stable,8.0,1.5,0.05,4,0.252439022064209,0.39182448387145996,0.3221317529678345,0.022469396670957948,results/exp5_regime_comparison/runs/stable_beta8/beta8.0_n1.5_noise0.05/obs-1-2-3_count-1000/seed-4
oscillatory_beta5,oscillatory,5.0,3.0,0.05,0,0.003963947296142578,0.0004055500030517578,0.002184748649597168,0.00663938806244962,results/exp5_regime_comparison/runs/oscillatory_beta5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
oscillatory_beta5,oscillatory,5.0,3.0,0.05,1,0.0005617141723632812,0.0004729429880777995,0.0005173285802205404,0.004591536775281981,results/exp5_regime_comparison/runs/oscillatory_beta5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
oscillatory_beta5,oscillatory,5.0,3.0,0.05,2,0.0022691726684570313,0.002219597498575846,0.0022443850835164388,0.004797152016976938,results/exp5_regime_comparison/runs/oscillatory_beta5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
oscillatory_beta5,oscillatory,5.0,3.0,0.05,3,0.0042441368103027345,0.001821756362915039,0.003032946586608887,0.017079516705151877,results/exp5_regime_comparison/runs/oscillatory_beta5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
oscillatory_beta5,oscillatory,5.0,3.0,0.05,4,0.0026676177978515623,0.0021892388661702475,0.0024284283320109047,0.010708082199272356,results/exp5_regime_comparison/runs/oscillatory_beta5/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
oscillatory_beta8,oscillatory,8.0,3.0,0.05,0,0.011171996593475342,0.0009094079335530599,0.006040702263514201,0.018529648140834482,results/exp5_regime_comparison/runs/oscillatory_beta8/beta8.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
oscillatory_beta8,oscillatory,8.0,3.0,0.05,1,0.0045188069343566895,0.0010728836059570312,0.0027958452701568604,0.01491487799255485,results/exp5_regime_comparison/runs/oscillatory_beta8/beta8.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
oscillatory_beta8,oscillatory,8.0,3.0,0.05,2,0.007412552833557129,0.0055150190989176435,0.006463785966237387,0.014242634567111046,results/exp5_regime_comparison/runs/oscillatory_beta8/beta8.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
oscillatory_beta8,oscillatory,8.0,3.0,0.05,3,0.0008881092071533203,0.0037778218587239585,0.0023329655329386396,0.05269232768998683,results/exp5_regime_comparison/runs/oscillatory_beta8/beta8.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
oscillatory_beta8,oscillatory,8.0,3.0,0.05,4,0.007525622844696045,0.0029752254486083984,0.005250424146652222,0.029128662918142426,results/exp5_regime_comparison/runs/oscillatory_beta8/beta8.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
