lambda_f,seed,beta_rel_error,n_rel_error,parameter_rel_error,state_rmse,outdir
0.01,0,0.0036566734313964845,0.0009655952453613281,0.0023111343383789063,0.010432353446624666,results/exp6_loss_weights/runs/lf0.01/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
0.01,1,0.0018605232238769532,0.002437114715576172,0.0021488189697265623,0.011801632238995064,results/exp6_loss_weights/runs/lf0.01/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
0.01,2,0.0016130447387695313,0.003290414810180664,0.0024517297744750975,0.00911019819669606,results/exp6_loss_weights/runs/lf0.01/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
0.01,3,0.0017638206481933594,0.0032716592152913413,0.0025177399317423505,0.013544587652444307,results/exp6_loss_weights/runs/lf0.01/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
0.01,4,0.00320281982421875,0.004756053288777669,0.00397943655649821,0.00938744981799226,results/exp6_loss_weights/runs/lf0.01/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
0.1,0,0.0035058021545410155,0.0010305245717366536,0.0022681633631388347,0.008425105091983685,results/exp6_loss_weights/runs/lf0.1/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
0.1,1,0.0003437995910644531,1.819928487141927e-05,0.0001809994379679362,0.011110020649122617,results/exp6_loss_weights/runs/lf0.1/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
0.1,2,0.0018158912658691405,0.003006140391031901,0.0024110158284505207,0.00886600606948062,results/exp6_loss_weights/runs/lf0.1/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
0.1,3,0.003410816192626953,4.482269287109375e-05,0.0017278194427490234,0.010451604806957728,results/exp6_loss_weights/runs/lf0.1/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
0.1,4,0.002289295196533203,0.0027907689412434897,0.0025400320688883466,0.010723761462983664,results/exp6_loss_weights/runs/lf0.1/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
1.0,0,0.003963947296142578,0.0004055500030517578,0.002184748649597168,0.00663938806244962,results/exp6_loss_weights/runs/lf1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
1.0,1,0.0005617141723632812,0.0004729429880777995,0.0005173285802205404,0.004591536775281981,results/exp6_loss_weights/runs/lf1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
1.0,2,0.0022691726684570313,0.002219597498575846,0.0022443850835164388,0.004797152016976938,results/exp6_loss_weights/runs/lf1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
1.0,3,0.0042441368103027345,0.001821756362915039,0.003032946586608887,0.017079516705151877,results/exp6_loss_weights/runs/lf1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
1.0,4,0.0026676177978515623,0.0021892388661702475,0.0024284283320109047,0.010708082199272356,results/exp6_loss_weights/runs/lf1.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
10.0,0,0.020430374145507812,0.004398504892985026,0.01241443951924642,0.014055678876305334,results/exp6_loss_weights/runs/lf10.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
10.0,1,0.016841793060302736,0.002658208211263021,0.009750000635782878,0.010497210845315729,results/exp6_loss_weights/runs/lf10.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
10.0,2,0.0182586669921875,0.005922555923461914,0.012090611457824706,0.010871343826022516,results/exp6_loss_weights/runs/lf10.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
10.0,3,0.013374614715576171,0.009307781855265299,0.011341198285420736,0.027313578230248332,results/exp6_loss_weights/runs/lf10.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
10.0,4,0.019437885284423827,0.0016095638275146484,0.010523724555969238,0.015544206943719469,results/exp6_loss_weights/runs/lf10.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
100.0,0,0.17169103622436524,0.2571316560109456,0.21441134611765544,0.25189066492753454,results/exp6_loss_weights/runs/lf100.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-0
100.0,1,0.17002010345458984,0.25107502937316895,0.2105475664138794,0.250387317526385,results/exp6_loss_weights/runs/lf100.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-1
100.0,2,0.19014596939086914,0.26932422320048016,0.22973509629567465,0.2586922046965179,results/exp6_loss_weights/runs/lf100.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-2
100.0,3,0.1858351707458496,0.3066439628601074,0.2462395668029785,0.2604929531607383,results/exp6_loss_weights/runs/lf100.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-3
100.0,4,0.17310876846313478,0.2697749137878418,0.2214418411254883,0.2525464356475026,results/exp6_loss_weights/runs/lf100.0/beta5.0_n3.0_noise0.05/obs-1-2-3_count-1000/seed-4
